10,0.000006,0.000027,0.000004,0.000004,0.000009
32,0.000149,0.000169,0.000070,0.000115,0.000278
50,0.000569,0.000411,0.000258,0.000432,0.001134
64,0.001199,0.000663,0.000535,0.000970,0.002350
100,0.004686,0.001631,0.002049,0.003451,0.008888
128,0.010480,0.002892,0.004260,0.007234,0.018895
200,0.039020,0.006999,0.016081,0.027636,0.074774
256,0.088784,0.011711,0.033562,0.057602,0.161316
300,0.135523,0.015532,0.053858,0.092067,0.257856
400,0.326468,0.029353,0.127552,0.223906,0.618452
512,0.726461,0.047600,0.265917,0.458133,1.408128
1000,5.936932,0.188364,1.984656,3.401368,10.038440